Date of occurrence,Occurrence severity,Occurrence with ship(s),Deviation,Name of ship,IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution
16/02/2020,Very serious,Grounding/stranding - Drift,,ALTA,7432305,Cargo ship - Solid Cargo - General Cargo,0,0,
04/01/2020,Very serious,Loss of control - Loss of containment,,STONE I,9380582,Cargo ship - Liquid Cargo - Chemical tanker,0,0,YES
27/10/2019,Very serious,"Contact - Floating object - Unknown,Flooding/Foundering - Flooding - Massive",,Avel vor,8908038,Fishing vessel - Seiner - Tuna purse seiners,0,0,
23/10/2019,Very serious,Grounding/stranding - Power,,DILLON OWEN,9456654,Fishing vessel,0,0,
13/10/2019,Very serious,Grounding/stranding - Power,,RHODANUS,9173173,Cargo ship - Solid Cargo - General Cargo,0,0,
07/10/2019,Very serious,Loss of control - Loss of containment,"Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away, by something or by momentum",EUROFERRY MALTA,9108556,Passenger ship - Passenger and general cargo - International,1,3,
03/09/2019,Very serious,"Collision - With other ship,Collision - With other ship",,"KANALA,LIAO DANYU 23625",9425552,"Cargo ship - Solid Cargo - Other,Cargo ship - Liquid Cargo - Oil tanker - Product carrier",1,0,
03/08/2019,Very serious,"Collision - With other ship,Collision - With other ship",,"Chuan Yi Tsai No.1,SASEBO GLORY",9740823,Cargo ship - Solid Cargo - Bulk Carrier,6,0,
10/03/2019,Very serious,Fire/Explosion - Fire,,GRANDE AMERICA,9130937,Cargo ship - Solid Cargo - Ro-Ro Cargo,0,0,YES
29/12/2018,Very serious,Fire/Explosion - Explosion,,ATHLOS,9539858,Cargo ship - Liquid Cargo - Chemical tanker,1,5,
07/12/2018,Very serious,Grounding/stranding - Drift,,VIKING,8139364,Service ship - Tug (Towing/Pushing),0,0,
28/11/2018,Very serious,Fire/Explosion - Fire,,Astrid Sofie,9782405,Fishing vessel,0,0,
08/11/2018,Very serious,"Collision - With other ship,Collision - With other ship",,"KNM Helge Ingstad,SOLA TS",9724350,"Cargo ship - Liquid Cargo - Oil tanker - Crude oil,Navy ship",0,0,YES
04/11/2018,Very serious,"Collision - With other ship,Collision - With other ship",,"BEGONIA S,Mietus II",9445540,"Cargo ship - Solid Cargo - General Cargo,Recreational craft - Motorboat",0,1,
03/11/2018,Very serious,Grounding/stranding - Power,,FJORDVIK,7423249,Cargo ship - Solid Cargo - General Cargo,0,0,
28/10/2018,Very serious,Fire/Explosion - Fire,,BALGARKA,9158159,Cargo ship - Solid Cargo - Bulk Carrier,1,1,
21/10/2018,Very serious,"Collision - With other ship,Collision - With other ship",,"Greylag,Red Falcon",9064047,"Recreational craft - Sailboat (aux. motor),Passenger ship - Passenger and Ro-Ro cargo - International",0,0,
