Date of occurrence,Occurrence severity,Occurrence with ship(s),IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution,Age On Casualty,Length overall,Flag State,Sea area of occurrence,Wind force,Sea state,Natural light,Visibility,Weather conditions,bad weather,Education,Inappropriate behavior,Equipment
2020,1,Grounding/stranding,7432305,General Cargo,0,0,0,44,77.32,Greece,Open sea - Within EEZ,6,6,,,,2,,,
2020,1,Loss of control,9380582,Tanker,0,0,1,12,184.32,MARSHALL ISLANDS,Internal waters - Port area,9,3,Daylight,Poor,Snow,2,,,
2019,1,Contact,8908038,Fishing vessel,0,0,0,28,61,FRANCE,Open sea - Outside EEZ,4,4,Night,Good,,1,,,1
2019,1,Grounding/stranding,9456654,Fishing vessel,0,0,0,12,23.2,IRELAND,Territorial sea,,,,,,1,,,
2019,1,Grounding/stranding,9173173,General Cargo,0,0,0,22,88.95,ANTIGUA AND BARBUDA,Territorial sea,3,3,Night,Good,,0,1,1,
2019,1,Loss of control,9108556,Passenger ship,1,3,0,24,174.5,MALTA,Territorial sea,8,5,Daylight,Good,Clear,2,,,1
2019,1,Collision,9425552,Tanker,1,0,0,9,182.5,MALTA,Territorial sea,3,3,Night,Good,Clear,0,,1,1
2019,1,Collision,9740823,Bulk Carrier,6,0,0,3,229,CYPRUS,Open sea - Within EEZ,3,3,Night,Good,Clear,0,,,
2019,1,Fire/Explosion,9130937,Ro-Ro,0,0,1,22,213.88,ITALY,Open sea - Outside EEZ,4,6,Daylight,Good,,1,,,
2018,1,Fire/Explosion,9539858,Tanker,1,5,0,8,109.92,MALTA,Territorial sea,3,3,Daylight,Good,Clear,0,1,1,
2018,1,Grounding/stranding,8139364,Other,0,0,0,61,26.9,TUNISIA,Territorial sea,9,,Twilight,Good,Clear,2,1,,
2018,1,Collision,9724350,Tanker,0,0,1,1,249.97,MALTA,Territorial sea,,,,,,1,1,1,1
2018,1,Collision,9445540,General Cargo,0,1,0,11,140.43,COOK ISLANDS,Territorial sea,,,,,,1,1,1,1
2018,1,Grounding/stranding,7423249,General Cargo,0,0,0,42,94.65,BAHAMAS,Internal waters - Port area,8,,Night,Moderate,,1,,1,
2018,1,Fire/Explosion,9158159,Bulk Carrier,1,1,0,14,186.45,MALTA,Repair yard,3,0,Daylight,Good,Clear,0,1,,
2018,1,Collision,9064047,Other,0,0,0,24,93.22,UNITED KINGDOM,Territorial sea,,,,,,1,,,
2018,1,Loss of control,9343974,Container Ship,1,0,0,10,222.2,MALTA,Territorial sea,,,,,,1,1,,1
2018,1,Fire/Explosion,9256963,Fishing vessel,0,1,1,18,28.95,ICELAND,Open sea - Within EEZ,6,4,,,,1,,,
2018,1,Collision,9064047,Ro-Ro,0,0,0,24,93.22,UNITED KINGDOM,Internal waters - Port area,,,,,,1,,,
2018,1,Fire/Explosion,9842425,Passenger ship,0,0,1,0,40.88,MALTA,Internal waters - Archipelago fairway,1,1,Daylight,Good,Clear,0,,,1
2018,1,Capsizing/Listing,7524627,Fishing vessel,2,0,0,45,30.7,BELGIUM,Open sea - Within EEZ,,,,,,1,,,1
2018,1,Fire/Explosion,7816513,General Cargo,1,0,0,37,74.75,TURKEY,Territorial sea,2,2,Night,Good,Clear,0,,,
2018,1,Damage,9212008,Tanker,1,1,0,18,249.2,MALTA,Repair yard,,,,,,1,,,1
2018,1,Flooding/Foundering,9488499,Fishing vessel,1,0,0,10,119.95,MALTA,Open sea - Within EEZ,2,2,Night,Good,Clear,0,,,1
2018,1,Loss of control,7310507,Other,0,0,1,45,115.3,LEBANON,Internal waters - Port area,3,1,Twilight,Moderate,Rain,2,1,1,1
2018,1,Fire/Explosion,9189251,Ro-Ro,0,0,0,19,227.95,SWEDEN,Open sea - Outside EEZ,1,1,,Good,Clear,0,1,,1
2018,1,Fire/Explosion,9574420,Bulk Carrier,1,0,0,8,229.2,MALTA,Internal waters - Port area,3,0,Daylight,Good,Clear,0,,1,
2018,1,Collision,9396969,Fishing vessel,0,0,0,11,108,MALTA,Territorial sea,3,3,Night,Good,Clear,0,1,1,
2018,1,Capsizing/Listing,7032375,Other,0,0,0,48,23.83,DENMARK,Territorial sea,3,2,Daylight,Good,Clear,0,1,,
2018,1,Fire/Explosion,7529976,Other,1,0,0,40,185.45,BULGARIA,Open sea - Outside EEZ,4,3,Daylight,Good,Clear,1,1,,1
2018,1,Loss of control,9690482,Ro-Ro,0,0,0,5,40,PORTUGAL,Internal waters - Port area,6,5,Daylight,Moderate,Clear,1,,,
2017,1,Damage,9166883,Bulk Carrier,1,0,0,19,187.3,MALTA,Internal waters - Port area,,,Daylight,Good,Clear,1,,,1
2017,1,Damage,7732418,General Cargo,1,0,0,41,67,ITALY,Internal waters - Port area,,,,,,1,,,
2017,1,Collision,8916401,Passenger ship,0,13,0,28,31.2,ITALY,Inland waters - Channel,0,0,Twilight,Good,Clear,0,,,
2017,1,Grounding/stranding,9701281,Container Ship,0,0,0,0,184.99,MALTA,Open sea - Within EEZ,4,4,Night,Good,Overcast,1,1,,
2017,1,Collision,8707446,Fishing vessel,3,1,1,29,125.53,GERMANY,Open sea - Within EEZ,7,5,Night,,Clear,1,,,
2017,1,Collision,9735139,Fishing vessel,2,0,0,3,139.9,RUSSIAN FEDERATION,Territorial sea,2,1,Daylight,Good,Clear,0,,,
2017,1,Flooding/Foundering,9119696,Fishing vessel,0,0,0,21,24.3,UNITED KINGDOM,Open sea - Within EEZ,3,3,Daylight,,,1,,,
