Date of occurrence,Occurrence severity,Occurrence with ship(s),IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution,Age On Casualty,Length overall,Flag State,Sea area of occurrence,Wind force,Sea state,Natural light,Visibility,Weather conditions,bad weather,Education,Inappropriate behavior,Equipment
2020,1,6,7432305,4,0,0,0,44,77.32,Greece,Open sea - Within EEZ,6,6,,,,2,,,
2020,1,4,9380582,2,0,0,1,12,184.32,MARSHALL ISLANDS,Internal waters - Port area,9,3,Daylight,Poor,Snow,2,,,
2019,1,2,8908038,6,0,0,0,28,61,FRANCE,Open sea - Outside EEZ,4,4,Night,Good,,1,,,1
2019,1,6,9456654,6,0,0,0,12,23.2,IRELAND,Territorial sea,,,,,,1,,,
2019,1,6,9173173,4,0,0,0,22,88.95,ANTIGUA AND BARBUDA,Territorial sea,3,3,Night,Good,,0,1,1,
2019,1,4,9108556,7,1,3,0,24,174.5,MALTA,Territorial sea,8,5,Daylight,Good,Clear,2,,,1
2019,1,2,9425552,2,1,0,0,9,182.5,MALTA,Territorial sea,3,3,Night,Good,Clear,0,,1,1
2019,1,2,9740823,3,6,0,0,3,229,CYPRUS,Open sea - Within EEZ,3,3,Night,Good,Clear,0,,,
2019,1,3,9130937,1,0,0,1,22,213.88,ITALY,Open sea - Outside EEZ,4,6,Daylight,Good,,1,,,
2018,1,3,9539858,2,1,5,0,8,109.92,MALTA,Territorial sea,3,3,Daylight,Good,Clear,0,1,1,
2018,1,6,8139364,0,0,0,0,61,26.9,TUNISIA,Territorial sea,9,,Twilight,Good,Clear,2,1,,
2018,1,2,9724350,2,0,0,1,1,249.97,MALTA,Territorial sea,,,,,,1,1,1,1
2018,1,2,9445540,4,0,1,0,11,140.43,COOK ISLANDS,Territorial sea,,,,,,1,1,1,1
2018,1,6,7423249,4,0,0,0,42,94.65,BAHAMAS,Internal waters - Port area,8,,Night,Moderate,,1,,1,
2018,1,3,9158159,3,1,1,0,14,186.45,MALTA,Repair yard,3,0,Daylight,Good,Clear,0,1,,
2018,1,2,9064047,0,0,0,0,24,93.22,UNITED KINGDOM,Territorial sea,,,,,,1,,,
2018,1,4,9343974,5,1,0,0,10,222.2,MALTA,Territorial sea,,,,,,1,1,,1
2018,1,3,9256963,6,0,1,1,18,28.95,ICELAND,Open sea - Within EEZ,6,4,,,,1,,,
2018,1,2,9064047,1,0,0,0,24,93.22,UNITED KINGDOM,Internal waters - Port area,,,,,,1,,,
2018,1,3,9842425,7,0,0,1,0,40.88,MALTA,Internal waters - Archipelago fairway,1,1,Daylight,Good,Clear,0,,,1
2018,1,5,7524627,6,2,0,0,45,30.7,BELGIUM,Open sea - Within EEZ,,,,,,1,,,1
2018,1,3,7816513,4,1,0,0,37,74.75,TURKEY,Territorial sea,2,2,Night,Good,Clear,0,,,
2018,1,0,9212008,2,1,1,0,18,249.2,MALTA,Repair yard,,,,,,1,,,1
2018,1,7,9488499,6,1,0,0,10,119.95,MALTA,Open sea - Within EEZ,2,2,Night,Good,Clear,0,,,1
2018,1,4,7310507,0,0,0,1,45,115.3,LEBANON,Internal waters - Port area,3,1,Twilight,Moderate,Rain,2,1,1,1
2018,1,3,9189251,1,0,0,0,19,227.95,SWEDEN,Open sea - Outside EEZ,1,1,,Good,Clear,0,1,,1
2018,1,3,9574420,3,1,0,0,8,229.2,MALTA,Internal waters - Port area,3,0,Daylight,Good,Clear,0,,1,
2018,1,2,9396969,6,0,0,0,11,108,MALTA,Territorial sea,3,3,Night,Good,Clear,0,1,1,
2018,1,5,7032375,0,0,0,0,48,23.83,DENMARK,Territorial sea,3,2,Daylight,Good,Clear,0,1,,
2018,1,3,7529976,0,1,0,0,40,185.45,BULGARIA,Open sea - Outside EEZ,4,3,Daylight,Good,Clear,1,1,,1
2018,1,4,9690482,1,0,0,0,5,40,PORTUGAL,Internal waters - Port area,6,5,Daylight,Moderate,Clear,1,,,
2017,1,0,9166883,3,1,0,0,19,187.3,MALTA,Internal waters - Port area,,,Daylight,Good,Clear,1,,,1
2017,1,0,7732418,4,1,0,0,41,67,ITALY,Internal waters - Port area,,,,,,1,,,
2017,1,2,8916401,7,0,13,0,28,31.2,ITALY,Inland waters - Channel,0,0,Twilight,Good,Clear,0,,,
2017,1,6,9701281,5,0,0,0,0,184.99,MALTA,Open sea - Within EEZ,4,4,Night,Good,Overcast,1,1,,
2017,1,2,8707446,6,3,1,1,29,125.53,GERMANY,Open sea - Within EEZ,7,5,Night,,Clear,1,,,
2017,1,2,9735139,6,2,0,0,3,139.9,RUSSIAN FEDERATION,Territorial sea,2,1,Daylight,Good,Clear,0,,,
2017,1,7,9119696,6,0,0,0,21,24.3,UNITED KINGDOM,Open sea - Within EEZ,3,3,Daylight,,,1,,,
2017,1,4,8224523,0,0,0,0,33,30.2,NORWAY,Internal waters - Archipelago fairway,5,,Night,,Rain,2,,1,
2017,1,6,7035420,3,0,0,0,47,75.7,SWEDEN,"Internal waters - Channel, river",,,Night,,,1,,,
2017,1,3,9744518,0,1,4,0,1,177.9,NORWAY,Open sea - Within EEZ,,,,,,1,,,
2017,1,7,9034262,6,3,8,0,24,24,SENEGAL,Open sea - Outside EEZ,4,3,,Good,Clear,1,,,1
2017,1,4,5248255,4,0,0,0,65,58.1,NORWAY,Territorial sea,9,,,,Rain,2,,1,
2017,1,3,9689615,5,1,1,0,2,365,JAPAN,Internal waters - Port area,4,2,Night,,Overcast,0,1,1,1
2016,1,2,9451771,7,0,0,0,9,38.04,UNITED KINGDOM,"Internal waters - Channel, river",3,2,Daylight,Good,Clear,0,,1,1
2016,1,2,9595541,6,1,0,0,5,36.3,CYPRUS,Territorial sea,2,2,Daylight,Good,Clear,0,1,1,
2016,1,4,9072111,5,2,0,0,22,158,UNITED KINGDOM,Internal waters - Port area,4,2,Daylight,Good,Clear,0,,1,
2016,1,3,8420658,6,0,0,0,30,26.7,UNITED KINGDOM,Internal waters - Port area,2,0,Night,,,0,,,1
2016,1,2,9259501,1,0,0,0,12,199.8,DENMARK,Internal waters - Port area,0,0,Night,Very poor,Fog,2,,,
2016,1,7,9299604,3,19,0,0,5,39.28,CHINA,Open sea - Within EEZ,4,4,Night,Poor,Overcast,2,1,,
2016,1,2,9214903,5,2,0,0,16,346.98,DENMARK,Territorial sea,3,1,Daylight,Moderate,,0,,,
2016,1,0,7358755,1,1,0,0,41,115.35,CYPRUS,Repair yard,4,1,Daylight,Good,Clear,0,,,
2016,1,2,9410179,2,5,0,0,8,244.18,MALTA,Open sea - Within EEZ,,,,,,1,,,
2016,1,6,7626011,6,0,0,0,39,27,NORWAY,Internal waters - Archipelago fairway,5,5,Daylight,,,1,1,,
2015,1,3,9758507,0,0,0,1,1,27,DENMARK,Territorial sea,,4,Daylight,Good,Overcast,1,1,,1
2015,1,2,9630755,6,1,0,0,2,225.21,NORWAY,Open sea - Within EEZ,6,5,Night,Very good,Clear,0,,1,
2015,1,7,8719334,6,0,1,1,26,79.35,SPAIN,Open sea - Outside EEZ,,,Night,,,1,,1,1
2015,1,3,6605503,0,4,1,0,49,28.43,POLAND,Internal waters - Port area,3,0,Night,Good,,0,1,1,1
2015,1,7,9148221,4,0,0,1,18,90.95,CYPRUS,Territorial sea,2,3,Daylight,Good,Overcast,0,1,1,
2015,1,4,8804567,0,0,0,1,25,109,BAHAMAS,Repair yard,5,0,Daylight,Very good,Clear,0,,,1
2015,1,3,8508383,0,1,0,0,29,98.6,UNITED KINGDOM,Territorial sea,4,4,Night,Good,,1,1,1,1
2015,1,4,9511167,2,0,0,0,6,155,LIBERIA,Internal waters - Port area,2,1,Twilight,Good,Clear,0,,1,1
